025-02-20 21:02:52,878 - Loaded spaCy model in 1.70 seconds
2025-02-20 21:04:41,798 - Batch 3750-3800 processed in 1.13 seconds | Locations found: 2 | Total locations: 251
2025-02-20 21:04:42,925 - Batch 3800-3850 processed in 1.13 seconds | Locations found: 4 | Total locations: 255
2025-02-20 21:04:45,308 - Batch 3850-3900 processed in 2.38 seconds | Locations found: 3 | Total locations: 258
2025-02-20 21:04:46,716 - Batch 3900-3950 processed in 1.41 seconds | Locations found: 2 | Total locations: 260
2025-02-20 21:04:47,647 - Batch 3950-4000 processed in 0.93 seconds | Locations found: 1 | Total locations: 261
2025-02-20 21:04:48,889 - Batch 4000-4050 processed in 1.24 seconds | Locations found: 4 | Total locations: 265
2025-02-20 21:04:50,090 - Batch 4050-4100 processed in 1.20 seconds | Locations found: 4 | Total locations: 269
2025-02-20 21:04:51,471 - Batch 4100-4150 processed in 1.38 seconds | Locations found: 2 | Total locations: 271
2025-02-20 21:04:52,998 - Batch 4150-4200 processed in 1.53 seconds | Locations found: 5 | Total locations: 276
2025-02-20 21:04:54,231 - Batch 4200-4250 processed in 1.23 seconds | Locations found: 3 | Total locations: 279
2025-02-20 21:04:55,413 - Batch 4250-4300 processed in 1.18 seconds | Locations found: 1 | Total locations: 280
2025-02-20 21:04:56,841 - Batch 4300-4350 processed in 1.43 seconds | Locations found: 4 | Total locations: 284
2025-02-20 21:04:58,236 - Batch 4350-4400 processed in 1.39 seconds | Locations found: 2 | Total locations: 286
2025-02-20 21:04:59,573 - Batch 4400-4450 processed in 1.34 seconds | Locations found: 2 | Total locations: 288
2025-02-20 21:05:01,275 - Batch 4450-4500 processed in 1.70 seconds | Locations found: 5 | Total locations: 293
2025-02-20 21:05:04,297 - Batch 4500-4550 processed in 3.02 seconds | Locations found: 1 | Total locations: 294
2025-02-20 21:05:05,439 - Batch 4550-4600 processed in 1.14 seconds | Locations found: 0 | Total locations: 294
2025-02-20 21:05:06,886 - Batch 4600-4650 processed in 1.45 seconds | Locations found: 3 | Total locations: 297
2025-02-20 21:05:07,958 - Batch 4650-4700 processed in 1.07 seconds | Locations found: 4 | Total locations: 301
